game_id,game_name,price,genres,tags,specs,release_date
3720,Evil Genius,9.99,Strategy,"Strategy,Base Building,Villain Protagonist,Comedy,Singleplayer,Simulation,Parody,Management,Stylized,RTS,Funny,Real-Time with Pause,Classic,Building,Great Soundtrack,Sandbox",Single-player,9/28/2004
278490,Aveyond 3-2: Gates of Night,9.99,"Adventure,Casual,Indie,RPG","RPG,Adventure,Indie,RPGMaker,Casual,JRPG,Female Protagonist,Singleplayer",Single-player,4/18/2014
13520,Far Cry®,9.99,Action,"FPS,Action,Classic,Shooter,Open World,Stealth,First-Person,Singleplayer,Difficult,Multiplayer,Adventure,Atmospheric,Story Rich,Sci-fi,Horror,Sandbox,Great Soundtrack,Survival",Single-player,3/23/2004
25980,Majesty 2,9.99,"Simulation,Strategy","Strategy,Simulation,Fantasy,Singleplayer,Difficult,RTS",Single-player,9/17/2009
204030,Fable - The Lost Chapters,9.99,"Action,Adventure,RPG","RPG,Adventure,Action,Fantasy,Third Person,Singleplayer,Choices Matter,Atmospheric,Classic,Open World,Story Rich,Magic,Great Soundtrack,Action RPG,Comedy,Character Customization,Exploration,Dark Fantasy,Medieval,Replay Value",Single-player,12/19/2011
221260,Little Inferno,9.99,"Adventure,Casual,Indie","Casual,Indie,Singleplayer,Puzzle,Satire,Funny,Short,Comedy,Story Rich,Adventure,Great Soundtrack,Sandbox,Atmospheric,Dark Humor,Dark,Parody,2D,Point & Click,Touch-Friendly,Surreal",Single-player,11/19/2012
340150,Basement,9.99,"Indie,Simulation,Strategy,Early Access","Early Access,Management,Strategy,Simulation,Crime,Indie,Pixel Graphics,Base Building,Sandbox,2D,Singleplayer,Great Soundtrack,Action",Single-player,4/30/2015
37210,Chocolatier®: Decadence by Design™,9.99,Simulation,"Simulation,Casual",Single-player,8/12/2009
463800,FreeHolder,9.99,"Indie,RPG,Simulation,Strategy,Early Access","Early Access,Strategy,RPG,Indie,Simulation,Survival,Singleplayer,Great Soundtrack,Alternate History,Historical,Pixel Graphics",Single-player,7/5/2016
280,Half-Life: Source,9.99,Action,"FPS,Action,Sci-fi,Classic,Singleplayer,Shooter,First-Person,Aliens,Zombies,Story Rich,Adventure,""1990s"",Remake,Atmospheric,Multiplayer,Horror,Moddable,Silent Protagonist,Great Soundtrack,Co-op",Single-player,6/1/2004
33210,Dawn of Discovery™,9.99,"Simulation,Strategy","Strategy,Simulation,City Builder,RTS",Single-player,6/23/2009
12140,Max Payne,9.99,Action,"Noir,Action,Classic,Third-Person Shooter,Story Rich,Bullet Time,Atmospheric,Dark,Third Person,Shooter,Singleplayer,Great Soundtrack,Linear,Detective,Cinematic,Adventure,Violent,Crime,Horror,Psychological Horror",Single-player,7/25/2001
15170,Heroes of Might & Magic V,9.99,Strategy,"Strategy,Turn-Based Strategy,Fantasy,Tactical,Turn-Based,RPG,Multiplayer,Classic,Story Rich,Singleplayer",Single-player,5/23/2006
10120,Aces of the Galaxy™,9.99,"Action,Casual","Action,Casual,Space,On-Rails Shooter",Single-player,6/4/2008
408740,Pro Gamer Manager,9.99,"Casual,Indie,Simulation,Sports","Simulation,Indie,Casual,Sports,Management,Strategy,e-sports",Single-player,4/28/2016
39650,The Guild II,9.99,"Simulation,Strategy","Simulation,Strategy,Medieval,RPG,Trading,Singleplayer,Economy,Sandbox,Management",Single-player,10/12/2006
57650,DUNGEONS - Steam Special Edition,9.99,"RPG,Strategy","Strategy,RPG,Fantasy,Simulation",Single-player,2/10/2011
215710,Fieldrunners 2,9.99,"Action,Strategy,Casual","Tower Defense,Strategy,Casual,Action,Touch-Friendly,Indie,Singleplayer",Single-player,1/10/2013
11390,Crash Time 2,9.99,"Action,Racing","Racing,Action,Open World,Singleplayer,Driving,Local Multiplayer,Simulation,Split Screen,Adventure",Single-player,8/27/2009
12810,Overlord II,9.99,RPG,"RPG,Fantasy,Villain Protagonist,Singleplayer,Funny,Action,Comedy,Third Person,Magic,Action RPG,Strategy,Adventure,Dark Humor,Action-Adventure,Open World,Puzzle,Dark Fantasy,Atmospheric,Multiplayer,RTS",Single-player,6/23/2009
21980,Call of Juarez®: Bound in Blood,9.99,Action,"Western,Action,FPS,Singleplayer,Adventure,Shooter,Multiplayer,First-Person,Open World,Story Rich,Historical,Atmospheric,Bullet Time,Great Soundtrack",Single-player,6/30/2009
23400,Imperium Romanum Gold Edition,9.99,"Simulation,Strategy","Strategy,Simulation,City Builder,Rome,Singleplayer",Single-player,10/30/2008
39680,The Guild II Renaissance,9.99,"Simulation,Strategy","Strategy,Simulation,Economy,Medieval,RPG,Politics,Trading,City Builder,Sandbox,Management,Singleplayer,Multiplayer,Resource Management,Open World,Historical",Single-player,7/28/2010
3920,Sid Meier's Pirates!,9.99,RPG,"Pirates,Open World,RPG,Adventure,Naval,Singleplayer,Historical,Sailing,Sandbox,Economy,Strategy,Remake,Classic,Action,Exploration,Trading,Atmospheric,Fighting,Choose Your Own Adventure,Difficult",Single-player,7/11/2005
15370,Heroes of Might & Magic V: Tribes of the East,9.99,Strategy,"Strategy,Turn-Based Strategy,Turn-Based,Fantasy,Multiplayer,Singleplayer,RPG",Single-player,10/16/2007
